"","d","UCL..95..","Z","Pr...d"
"EF43:EF81",0.0187532379491217,0.00539313654990902,7.61993290329115,0.001
"EF43:EF96",0.0183811471009189,0.00805568027897655,5.43703681268284,0.001
"EF43:ZI192",0.0200428054038384,0.0245410456249474,-0.659993768644139,0.754
"EF43:ZI251",0.0319584150465591,0.0264889365576045,3.37543525408013,0.001
"EF43:ZI418",0.0294334722470901,0.0250840163875296,3.45841361422312,0.002
"EF81:EF96",0.026242552503159,0.00545850704498769,8.19391324798547,0.001
"EF81:ZI192",0.0306456747771498,0.0268694481703681,3.08649538495811,0.002
"EF81:ZI251",0.0397878618370067,0.028146224414981,4.88996734858183,0.001
"EF81:ZI418",0.0372590314605492,0.0269763423248014,5.31991240062678,0.001
"EF96:ZI192",0.0279632340393128,0.0282942384399943,1.52726442942285,0.0590000000000001
"EF96:ZI251",0.0348843334035842,0.0295196097889037,2.87278088894704,0.004
"EF96:ZI418",0.035120511738268,0.028551483328566,3.37696767603258,0.001
"ZI192:ZI251",0.0171798843891803,0.00528389683616481,6.38219930821813,0.001
"ZI192:ZI418",0.0198077548221947,0.00372221298640666,7.94232021218634,0.001
"ZI251:ZI418",0.0150501521091409,0.00453174130953452,6.80520460179043,0.001
