X,Y
-0.245924240196166,0.0686125493612648
-0.239336755069556,0.0242155177229577
-0.264354902100558,-0.00999371955222374
-0.210912176647446,-0.053179712409774
-0.200555316642329,-0.0328390613845519
-0.169287176205856,0.02572856333563
-0.135125787739142,0.091680721220128
-0.0560554980392808,0.0208616935952718
-0.0596409857210053,-0.00557314086434243
0.0854732634049194,-0.0313697210325162
0.0748511022189551,-0.0986180287593883
0.312038203283699,0.167369809262462
0.479799413271586,0.0500693714454157
0.456349130535471,-0.0314251427768588
0.172681725646708,-0.185539699163475
